Mixture	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA_AO_A128	0.00729163657645869	0	0.00549933038044913	0.276274489948266	0	0	0.149963492682635	0.0406321048367234	0.036022495736512	0	0.0352153186382157	0	0	0.0541664416870531	0.18621939756546	0.160590287301963	0	0	0.0481250046462634	0	0	0	9999	0.601772110762816	0.805282256659067
TCGA_A8_A09X	0.0140722894108927	0	0.0589122285918432	0.169241905169704	0	0.114628297742609	0.00684804139544502	0.0822491644026316	0.0528385375422445	0.00713999084510156	0	0.0597161802424092	0.0412608770650357	0.013052419014938	0.0943939444475781	0.170395052986824	0.00106834426584849	0.0180660259116211	0.0951570213921079	0	0	0.00095967957316555	9999	0.425183545482207	0.904595574510462
TCGA_AN_A04D	0.0130261420029046	0	0.0506284931880959	0.0662203558523268	0	0.0515594411453732	0	0.103251937230766	0	0.0493827459684839	0	0	0.00134063659381371	0.159407445806264	0.0567252252635439	0.215150105719182	0.00692223758330614	0.0216654503827553	0.155885160863864	0	0.0479453402547386	0.000889282144582172	9999	0.0288866088282523	1.07231374978645
TCGA_BH_A0BL	0.0820059096918842	0	0	0	0	0.196733404655364	0.0392995144855379	0.0826456647371674	0.0101910713032727	0.04359001223148	0	0.0133855490056067	0.00227198771977446	0.121286729478941	0.19065667167089	0.0652244479971481	0.094726083434039	0	0.0579829535888939	0	0	0	9999	0.537683814963125	0.845503591185219
TCGA_EW_A6SB	0.0143278922074875	0	0.310022031734379	0.065740777752345	0	0.117450851804403	0.0458989049522502	0.0963828077876021	0.030039724998131	0.0134204665387137	0	0.0185098786007435	0	0.126314726324548	0.0673869005875913	0.0304209461649512	0.0640840905468548	0	0	0	0	0	9999	0.458302836509289	0.89572283906337
TCGA_C8_A12V	0.00539171525146926	0	0.0853602243586099	0.190249960499115	0	0.0580058236582724	0.0361187926323554	0.0532912194608222	0.0315923601329604	0	0	0.0479191268448338	0	0.0822336121302819	0.199233298998733	0.121611104547506	0.0627341165397415	0	0.0262586449452987	0	0	0	9999	0.680513309242774	0.757020251216763
TCGA_AC_A2QJ	0	0.0208854893665855	0	0.0407158684660675	0	0.0219309437990332	0.00109306167695837	0.0205937258296854	0.0259932930631109	0	0.0344843385967978	0	0.0106212531170785	0.370381548301902	0.0227880112416663	0.394018818137768	0.00487711182688864	0	0.0316165365764578	0	0	0	9999	0.696312186606434	0.719437731894124
TCGA_A1_A0SK	0.00156426156761007	0.00513727757540571	0.0253765727791069	0	0	0.301855182306094	0	0.0807397001886485	0.00969220659624932	0	0.0137692890544845	0	0	0.439926022581468	0.0173458609221572	0	0.00416582762640511	0	0.0269054222744594	0	0.0735223765279114	0	9999	0.0665558670156772	1.10181912750934
TCGA_BH_A0BG	0.0585652033775736	0	0.0184283705028751	0.170340687787135	0	0.0993115499892098	0.0254091042409435	0.0958924153104686	0.0328800158806838	0	0	0.0158048130515414	0	0.0907031724064357	0.257024488684385	0.073339194003251	0.000157136234910962	0.023723285513277	0.0384205630173103	0	0	0	9999	0.470349370795918	0.886581647643558
TCGA_EW_A1OW	0.0682032330103277	0	0.119408649976395	0.0338971789544671	0	0.073493612874313	0	0.0901661532204614	0.00833892302622033	0	0	0.0154166070697233	0	0.365858974846359	0.083391752584729	0.0759090976114624	0.0393625940851331	0	0.0265532227404081	0	0	0	9999	0.282822278058702	0.981022096660136
